date,open,high,low,close,VOLUME
28-Dec-21,17177.6,17250.25,17161.15,17233.25,0
29-Dec-21,17220.1,17285.95,17176.65,17213.6,0
30-Dec-21,17201.45,17264.05,17146.35,17203.95,0
31-Dec-21,17244.5,17400.8,17238.5,17354.05,0
03-Jan-22,17387.15,17646.65,17383.3,17625.7,0
04-Jan-22,17681.4,17827.6,17593.55,17805.25,0
05-Jan-22,17820.1,17944.7,17748.85,17925.25,0
06-Jan-22,17768.5,17797.95,17655.55,17745.9,0
07-Jan-22,17797.6,17905,17704.55,17812.7,0
10-Jan-22,17913.3,18017.45,17879.15,18003.3,0
11-Jan-22,17997.75,18081.25,17964.4,18055.75,0
12-Jan-22,18170.4,18227.95,18128.8,18212.35,0
13-Jan-22,18257,18272.25,18163.8,18257.8,0
14-Jan-22,18185,18286.95,18119.65,18255.75,0
17-Jan-22,18235.65,18321.55,18228.75,18308.1,0
18-Jan-22,18337.2,18350.95,18085.9,18113.05,0
19-Jan-22,18129.2,18129.2,17884.9,17938.4,0
20-Jan-22,17921,17943.7,17648.45,17757,0
21-Jan-22,17613.7,17707.6,17485.85,17617.15,0
24-Jan-22,17575.15,17599.4,16997.85,17149.1,0
25-Jan-22,17001.55,17309.15,16836.8,17277.95,0
27-Jan-22,17062,17182.5,16866.75,17110.15,0
28-Jan-22,17208.3,17373.5,17077.1,17101.95,0
31-Jan-22,17301.05,17410,17264.15,17339.85,0
01-Feb-22,17529.45,17622.4,17244.55,17576.85,0
02-Feb-22,17706.2,17794.6,17674.8,17780,0
03-Feb-22,17767.75,17781.15,17511.15,17560.2,0
04-Feb-22,17590.2,17617.8,17462.55,17516.3,0
07-Feb-22,17456.3,17536.75,17119.4,17213.6,0
08-Feb-22,17279.85,17306.45,17043.65,17266.75,0
09-Feb-22,17370.1,17477.15,17339,17463.8,0
10-Feb-22,17554.1,17639.45,17427.15,17605.85,0
11-Feb-22,17451,17454.75,17303,17374.75,0
14-Feb-22,17076.15,17099.5,16809.65,16842.8,0
15-Feb-22,16933.25,17375,16839.25,17352.45,0
16-Feb-22,17408.45,17490.6,17257.7,17322.2,0
17-Feb-22,17396.55,17442.9,17235.85,17304.6,0
18-Feb-22,17236.05,17380.8,17219.2,17276.3,0
21-Feb-22,17192.25,17351.05,17070.7,17206.65,0
22-Feb-22,16847.95,17148.55,16843.8,17092.2,0
23-Feb-22,17194.5,17220.7,17027.85,17063.25,0
24-Feb-22,16548.9,16705.25,16203.25,16247.95,0
25-Feb-22,16515.65,16748.8,16478.3,16658.4,0
28-Feb-22,16481.6,16815.9,16356.3,16793.9,0
02-Mar-22,16593.1,16678.5,16478.65,16605.95,0
03-Mar-22,16723.2,16768.95,16442.95,16498.05,0
04-Mar-22,16339.45,16456,16133.8,16245.35,0
07-Mar-22,15867.95,15944.6,15711.45,15863.15,0
08-Mar-22,15747.75,16028.75,15671.45,16013.45,0
09-Mar-22,16078,16418.05,15990,16345.35,0
10-Mar-22,16757.1,16757.3,16447.9,16594.9,0
11-Mar-22,16528.8,16694.4,16470.9,16630.45,0
14-Mar-22,16633.7,16887.95,16606.5,16871.3,0
15-Mar-22,16900.65,16927.75,16555,16663,0
16-Mar-22,16876.65,16987.9,16837.85,16975.35,0
17-Mar-22,17202.9,17344.6,17175.75,17287.05,0
21-Mar-22,17329.5,17353.35,17096.4,17117.6,0
22-Mar-22,17120.4,17334.4,17006.3,17315.5,0
23-Mar-22,17405.05,17442.4,17199.6,17245.65,0
24-Mar-22,17094.95,17291.75,17091.15,17222.75,0
25-Mar-22,17289,17294.9,17076.55,17153,0
28-Mar-22,17181.85,17235.1,17003.9,17222,0
29-Mar-22,17297.2,17343.65,17235.7,17325.3,0
30-Mar-22,17468.15,17522.5,17387.2,17472.25,0
31-Mar-22,17519.2,17559.8,17435.2,17464.75,0
01-Apr-22,17436.9,17703.7,17422.7,17670.45,0
04-Apr-22,17809.1,18114.65,17791.4,18053.4,0
05-Apr-22,18080.6,18095.45,17921.55,17931.05,0
06-Apr-22,17842.75,17901,17779.85,17807.65,0
07-Apr-22,17723.3,17787.5,17623.7,17639.55,0
08-Apr-22,17698.15,17842.75,17600.55,17784.35,0
11-Apr-22,17740.9,17779.05,17650.95,17674.95,0
12-Apr-22,17584.85,17595.3,17442.35,17530.3,0
13-Apr-22,17599.9,17663.65,17457.4,17475.65,0
18-Apr-22,17183.45,17237.75,17067.85,17173.65,0
19-Apr-22,17258.95,17275.65,16824.7,16868.9,0
20-Apr-22,17045.25,17186.9,16978.95,17136.55,0
21-Apr-22,17234.6,17414.7,17215.5,17392.6,0
22-Apr-22,17242.75,17315.3,17149.2,17171.95,0
25-Apr-22,17009.05,17054.3,16888.7,16953.95,0
26-Apr-22,17121.3,17223.85,17064.45,17200.8,0
27-Apr-22,17073.35,17110.7,16958.45,17038.4,0
28-Apr-22,17189.5,17322.5,17071.05,17245.05,0
29-Apr-22,17329.25,17377.65,17053.25,17102.55,0
