price,volume,symbol
2806.2,3643,11536_NSE
2806.45,1470,11536_NSE
2805.8,4696,11536_NSE
2800.55,2147,11536_NSE
2801.2,2004,11536_NSE
2802.05,792,11536_NSE
2801.2,14688,11536_NSE
2802.1001,3233,11536_NSE
2800.75,2441,11536_NSE
2797.5,2892,11536_NSE
2800.1499,1882,11536_NSE
2802.05,3227,11536_NSE
2800.05,3611,11536_NSE
2800.75,4699,11536_NSE
2801.8501,2039,11536_NSE
2802.05,7007,11536_NSE
2805.8501,4155,11536_NSE
2807.25,3950,11536_NSE
2807.2,7926,11536_NSE
2806,1214,11536_NSE
2808.3501,4107,11536_NSE
2808,2117,11536_NSE
2808.1001,2449,11536_NSE
2809.55,7635,11536_NSE
2813.05,9909,11536_NSE
2815.45,10531,11536_NSE
2816.75,5652,11536_NSE
2824,14465,11536_NSE
2826.25,7339,11536_NSE
2821,14054,11536_NSE
2823.6001,6538,11536_NSE
2816.3501,6097,11536_NSE
2817.95,6402,11536_NSE
2819.1001,3954,11536_NSE
2822.55,7421,11536_NSE
2823.7,4282,11536_NSE
2823.8,6226,11536_NSE
2824,3780,11536_NSE
2822.6499,6614,11536_NSE
2822.75,3322,11536_NSE
2821.05,4961,11536_NSE
2821.3999,3800,11536_NSE
2820.6499,5470,11536_NSE
2820.55,5442,11536_NSE
2819.8,6124,11536_NSE
2820,7396,11536_NSE
2819.8,8268,11536_NSE
2819.25,4893,11536_NSE
2819.05,12152,11536_NSE
2819.5,4954,11536_NSE
2819.8501,3981,11536_NSE
2818.6001,3807,11536_NSE
2818.8999,4212,11536_NSE
2819.3999,3493,11536_NSE
2819.5,3042,11536_NSE
2819.55,1841,11536_NSE
2818.8501,2656,11536_NSE
2820,4868,11536_NSE
2764.6001,30122,11536_NSE
2765.2,20464,11536_NSE
2755.1001,19740,11536_NSE
2751.8501,12218,11536_NSE
2750.6499,20119,11536_NSE
2738.7,25813,11536_NSE
2742.2,12767,11536_NSE
2737.75,11405,11536_NSE
2734.8501,15931,11536_NSE
2738.2,12547,11536_NSE
2735.3999,12476,11536_NSE
2734,9614,11536_NSE
2731.95,11115,11536_NSE
2727.3501,17348,11536_NSE
2727.3999,15459,11536_NSE
2729,8139,11536_NSE
2725.75,8699,11536_NSE
2725.1001,7217,11536_NSE
2726.55,13503,11536_NSE
2726.6001,7686,11536_NSE
2726.8999,5389,11536_NSE
2725,9058,11536_NSE
2725.1001,6191,11536_NSE
2725.3999,4663,11536_NSE
2727,4124,11536_NSE
2725.55,4427,11536_NSE
2724.5,4576,11536_NSE
2730.7,7528,11536_NSE
2735.95,11608,11536_NSE
2734,7047,11536_NSE
2733.25,3901,11536_NSE
2733.75,6504,11536_NSE
2734.8501,3344,11536_NSE
2737,6481,11536_NSE
2737.5,5175,11536_NSE
2736,5478,11536_NSE
2735,12723,11536_NSE
2730,3322,11536_NSE
2731,6247,11536_NSE
2730,1964,11536_NSE
2728.1001,3068,11536_NSE
2727.45,4208,11536_NSE
2725.3,10198,11536_NSE
2723.3,18648,11536_NSE
2722.1001,3444,11536_NSE
2721.6001,14911,11536_NSE
2718.8,9550,11536_NSE
2720.3999,3735,11536_NSE
2717.6001,3893,11536_NSE
2722.1001,4228,11536_NSE
2719.8999,7064,11536_NSE
2718.75,4740,11536_NSE
2718,3267,11536_NSE
2719.6001,4828,11536_NSE
2718.6499,3786,11536_NSE
2716.8999,4036,11536_NSE
2714.3,14651,11536_NSE
2715.95,3648,11536_NSE
2714.6001,5328,11536_NSE
2709.45,13646,11536_NSE
2710.8999,8426,11536_NSE
2713,4932,11536_NSE
2711.2,4602,11536_NSE
2710.25,3729,11536_NSE
2708.2,7943,11536_NSE
2707.1001,6292,11536_NSE
2710,5702,11536_NSE
2708.25,4900,11536_NSE
2704.8999,9078,11536_NSE
2706,3531,11536_NSE
2707,5288,11536_NSE
2707.1499,5086,11536_NSE
2709.3501,4078,11536_NSE
2708.3501,4693,11536_NSE
2705.8999,4516,11536_NSE
2708.1001,2500,11536_NSE
2710.75,5075,11536_NSE
2710.8999,3449,11536_NSE
2710,2583,11536_NSE
2714.55,7541,11536_NSE
2713.95,4785,11536_NSE
2714.8999,5887,11536_NSE
2714.3999,4002,11536_NSE
2713.2,2539,11536_NSE
2713.1499,3141,11536_NSE
2714.7,5224,11536_NSE
2713.45,1893,11536_NSE
2713.7,2293,11536_NSE
2713.6499,3862,11536_NSE
2710.6499,9186,11536_NSE
2711.3999,2381,11536_NSE
2709.05,3717,11536_NSE
2707.2,2538,11536_NSE
2707.6499,2063,11536_NSE
2706.25,3690,11536_NSE
2706.55,1952,11536_NSE
2709.6001,4121,11536_NSE
2709.45,2226,11536_NSE
2710.75,2216,11536_NSE
2707.55,3855,11536_NSE
2709.95,2430,11536_NSE
2711.6001,2196,11536_NSE
2710.1499,3361,11536_NSE
2710.2,3366,11536_NSE
2710.1499,1584,11536_NSE
2710.45,2119,11536_NSE
2710.55,2300,11536_NSE
2710.55,1794,11536_NSE
2710.8501,1519,11536_NSE
2710.8,2051,11536_NSE
2712.2,2990,11536_NSE
2713.2,3377,11536_NSE
2713.6499,3640,11536_NSE
2715.8501,6961,11536_NSE
2714.7,1968,11536_NSE
2717.2,10025,11536_NSE
2716.6001,2589,11536_NSE
2714.2,2345,11536_NSE
2714.95,1693,11536_NSE
2714.95,4177,11536_NSE
2714.55,1797,11536_NSE
2714.8999,2765,11536_NSE
2715.05,1837,11536_NSE
2716.8501,4406,11536_NSE
2717,2061,11536_NSE
2716.05,2070,11536_NSE
2715.25,2380,11536_NSE
2715.5,1808,11536_NSE
2715.25,1341,11536_NSE
2715.05,3909,11536_NSE
2715.8,1731,11536_NSE
2715.5,1474,11536_NSE
2715.1001,2207,11536_NSE
2712.05,11286,11536_NSE
2714.6499,3258,11536_NSE
2715.8,3097,11536_NSE
2715.3999,1647,11536_NSE
2717,2498,11536_NSE
2716.3999,2198,11536_NSE
2715.45,1283,11536_NSE
2717.1001,2763,11536_NSE
2716,1948,11536_NSE
2717,1719,11536_NSE
2717,2477,11536_NSE
2719,4831,11536_NSE
2720.8,10321,11536_NSE
2720,3745,11536_NSE
2720.7,3065,11536_NSE
2719.6499,4609,11536_NSE
2719.3501,5389,11536_NSE
2721.75,8543,11536_NSE
2721.3501,3764,11536_NSE
2721.5,4589,11536_NSE
2722,3528,11536_NSE
2722.8999,3707,11536_NSE
2724.8999,9419,11536_NSE
2728.3999,13136,11536_NSE
2728.5,4910,11536_NSE
2728.05,9345,11536_NSE
2725.2,4007,11536_NSE
2725.2,5452,11536_NSE
2724.1001,4521,11536_NSE
2722.1001,2448,11536_NSE
2723.6001,3888,11536_NSE
2724,2788,11536_NSE
2723.45,2799,11536_NSE
2723,2014,11536_NSE
2722.7,4100,11536_NSE
2724.25,2035,11536_NSE
2724.45,3734,11536_NSE
2724.1001,2603,11536_NSE
2724.3501,3097,11536_NSE
2723.1001,1647,11536_NSE
2724.05,2967,11536_NSE
2723.8,1611,11536_NSE
2724.05,4064,11536_NSE
2724.2,2482,11536_NSE
2722.8999,3891,11536_NSE
2724.6001,3866,11536_NSE
2724.1001,1228,11536_NSE
2724.05,3464,11536_NSE
2723.25,2511,11536_NSE
2723.3501,3125,11536_NSE
2724,5397,11536_NSE
2723.55,2106,11536_NSE
2722.55,996,11536_NSE
2722.8,3574,11536_NSE
2720.3999,10474,11536_NSE
2722,5222,11536_NSE
2723.1001,2247,11536_NSE
2723.05,1702,11536_NSE
2723,2211,11536_NSE
2723,4601,11536_NSE
2723,2008,11536_NSE
2723,1471,11536_NSE
2723.45,2448,11536_NSE
2723.05,997,11536_NSE
2723.25,1835,11536_NSE
2723.1001,2083,11536_NSE
2723.1001,3137,11536_NSE
2723.6001,4102,11536_NSE
2723.3501,6464,11536_NSE
2723.3999,1937,11536_NSE
2720.6499,1464,11536_NSE
2721.3501,1754,11536_NSE
2721.8999,1529,11536_NSE
2722.2,1939,11536_NSE
2725,2608,11536_NSE
2726.6001,5517,11536_NSE
2727.25,3216,11536_NSE
2728.8501,4668,11536_NSE
2726.3999,2905,11536_NSE
2726.1499,1370,11536_NSE
2726.5,5873,11536_NSE
2727.3999,6843,11536_NSE
2727.05,6161,11536_NSE
2728.1499,5939,11536_NSE
2731.6001,11909,11536_NSE
2729.45,4371,11536_NSE
2727.8,5810,11536_NSE
2728.45,2263,11536_NSE
2727.3999,3158,11536_NSE
2725.1499,1915,11536_NSE
2725.05,1431,11536_NSE
2725.2,2591,11536_NSE
2725.7,1582,11536_NSE
2725.1001,1263,11536_NSE
2725.05,1663,11536_NSE
2724.5,3285,11536_NSE
2724.3999,1819,11536_NSE
2721.95,3748,11536_NSE
2722.6499,3452,11536_NSE
2722.5,9323,11536_NSE
2722.95,2269,11536_NSE
2721,7980,11536_NSE
2722.3,6532,11536_NSE
2723,2485,11536_NSE
2723.1499,3329,11536_NSE
2722.55,5862,11536_NSE
2722.8501,2910,11536_NSE
2723.8,2642,11536_NSE
2723.3999,2834,11536_NSE
2723.8501,689,11536_NSE
2723.05,2148,11536_NSE
2723.8501,1380,11536_NSE
2723.05,1210,11536_NSE
2723.05,1727,11536_NSE
2723.05,1321,11536_NSE
2724,1513,11536_NSE
2724.3999,3052,11536_NSE
2723.3,3561,11536_NSE
2722.55,1771,11536_NSE
2722.8,816,11536_NSE
2724,3762,11536_NSE
2722.55,1025,11536_NSE
2721.1499,1401,11536_NSE
2721.45,1783,11536_NSE
2722.8501,2533,11536_NSE
2722.55,1438,11536_NSE
2723.5,1724,11536_NSE
2725.5,3275,11536_NSE
2725.05,1453,11536_NSE
2725.2,2112,11536_NSE
2724.3501,1285,11536_NSE
2725.55,2073,11536_NSE
2726.6001,2648,11536_NSE
2726.25,1383,11536_NSE
2726.1499,1566,11536_NSE
2727.05,1986,11536_NSE
2726.3999,1225,11536_NSE
2726.1001,2719,11536_NSE
2726.1001,1752,11536_NSE
2726.05,2660,11536_NSE
2726.1001,2157,11536_NSE
2726.55,1983,11536_NSE
2729.2,15132,11536_NSE
2729.6499,2240,11536_NSE
2730.1499,3244,11536_NSE
2730.1001,3030,11536_NSE
2730.1499,1848,11536_NSE
2730,4066,11536_NSE
2728.6499,7839,11536_NSE
2727.3999,2123,11536_NSE
2728.1001,1647,11536_NSE
2728.1499,2455,11536_NSE
2728.8,2883,11536_NSE
2728.1499,1680,11536_NSE
2728.25,2045,11536_NSE
2728.3999,1415,11536_NSE
2728.3999,3816,11536_NSE
2728,2587,11536_NSE
2728.05,1797,11536_NSE
2728,2616,11536_NSE
2730,2492,11536_NSE
2731.75,4876,11536_NSE
2730.05,2298,11536_NSE
2731.25,2961,11536_NSE
2728.05,1227,11536_NSE
2728,1240,11536_NSE
2728,2085,11536_NSE
2728.1001,2406,11536_NSE
2728.05,1572,11536_NSE
2727.3501,4505,11536_NSE
2727.05,1653,11536_NSE
2727.3501,1914,11536_NSE
2727.6001,2027,11536_NSE
2728.3999,1928,11536_NSE
2729,3376,11536_NSE
2728.8,1079,11536_NSE
2727.3,1870,11536_NSE
2729.5,4223,11536_NSE
2729.5,2843,11536_NSE
2730.1499,4179,11536_NSE
2729.8,1900,11536_NSE
2729.3999,2098,11536_NSE
2729.3501,1538,11536_NSE
2729,2331,11536_NSE
2729.55,2854,11536_NSE
2728.8999,1652,11536_NSE
2730.1001,4417,11536_NSE
2730.05,1336,11536_NSE
2730.1001,1979,11536_NSE
2730.3,4762,11536_NSE
2730.3501,2211,11536_NSE
2729.5,2964,11536_NSE
2727.05,4354,11536_NSE
2728.3501,2194,11536_NSE
2727.75,2009,11536_NSE
2723,5851,11536_NSE
2722.5,3474,11536_NSE
2722.45,4826,11536_NSE
2721.8999,15364,11536_NSE
2722,7004,11536_NSE
2723.05,6909,11536_NSE
2723.8501,3652,11536_NSE
2720.7,4444,11536_NSE
2722.3501,1897,11536_NSE
2720.25,2947,11536_NSE
2725.8,10885,11536_NSE
2724.8999,2245,11536_NSE
2725.75,3303,11536_NSE
2724.3501,2731,11536_NSE
2723.05,2151,11536_NSE
2721.5,3572,11536_NSE
2721.25,2652,11536_NSE
2723.7,8450,11536_NSE
2727.45,8850,11536_NSE
2729,11055,11536_NSE
2727.55,7769,11536_NSE
2730.6499,10141,11536_NSE
2731.3,7516,11536_NSE
2730.25,6709,11536_NSE
2729,7407,11536_NSE
2729.05,4171,11536_NSE
2731,10279,11536_NSE
2726.2,8848,11536_NSE
2728.3,7289,11536_NSE
2728,5698,11536_NSE
2723.1001,10316,11536_NSE
2726.45,8822,11536_NSE
2725.55,12203,11536_NSE
2724.25,5833,11536_NSE
2726,6791,11536_NSE
2725.5,11540,11536_NSE
2724.25,9123,11536_NSE
2723.3,33588,11536_NSE
2725.45,6021,11536_NSE
2726.6001,6359,11536_NSE
2725.25,6242,11536_NSE
2725.05,8046,11536_NSE
2723.6499,7193,11536_NSE
2722,8661,11536_NSE
2723.45,6536,11536_NSE
2725.95,7733,11536_NSE
2725,8927,11536_NSE
2695.55,28006,11536_NSE
2692.6001,23525,11536_NSE
2686.3,14825,11536_NSE
2686,16712,11536_NSE
2685.75,8501,11536_NSE
2684.45,18071,11536_NSE
2686,6537,11536_NSE
2683.1499,8407,11536_NSE
2685.1499,3999,11536_NSE
2693.45,7044,11536_NSE
2687,7763,11536_NSE
2688.45,5069,11536_NSE
2686.8501,6479,11536_NSE
2688,8488,11536_NSE
2687.2,4331,11536_NSE
2689.1499,4567,11536_NSE
2696.5,6105,11536_NSE
2696.7,6112,11536_NSE
2697,2488,11536_NSE
2697.45,4641,11536_NSE
2701.75,9371,11536_NSE
2701.05,5791,11536_NSE
2702.55,2354,11536_NSE
2700.5,3435,11536_NSE
2700.25,3887,11536_NSE
2696.45,4656,11536_NSE
2695.1499,4017,11536_NSE
2697.6001,3858,11536_NSE
2696.8501,1293,11536_NSE
2696.1499,2180,11536_NSE
2694.05,5019,11536_NSE
2693.05,2885,11536_NSE
2691.05,2610,11536_NSE
2691.7,3523,11536_NSE
2696.05,2749,11536_NSE
2697.55,3073,11536_NSE
2695.3501,1795,11536_NSE
2694.6001,1618,11536_NSE
2693.3,2253,11536_NSE
2693.1001,3001,11536_NSE
2693.3999,1187,11536_NSE
2695.8,1307,11536_NSE
2696.95,1413,11536_NSE
2694,4163,11536_NSE
2695.75,1061,11536_NSE
2693.25,1961,11536_NSE
2692.75,1855,11536_NSE
2692.8999,1738,11536_NSE
2693.1001,1973,11536_NSE
2693.2,2069,11536_NSE
2694.45,1154,11536_NSE
2692.7,3701,11536_NSE
2693.7,1088,11536_NSE
2692.3999,1091,11536_NSE
2692.75,2482,11536_NSE
2695.3999,3053,11536_NSE
2696,1367,11536_NSE
2696.2,1492,11536_NSE
2697.5,1464,11536_NSE
2695.6499,1262,11536_NSE
2697.45,2100,11536_NSE
2699.25,3181,11536_NSE
2700.8999,2827,11536_NSE
2700.3501,2300,11536_NSE
2701.1001,3480,11536_NSE
2700.3501,4139,11536_NSE
2700.75,1373,11536_NSE
2704.5,2767,11536_NSE
2707.05,8758,11536_NSE
2707.3501,3460,11536_NSE
2704.3,2336,11536_NSE
2706.45,2532,11536_NSE
2708,1918,11536_NSE
2711.1001,5789,11536_NSE
2711,6777,11536_NSE
2710.2,2628,11536_NSE
2710.05,2174,11536_NSE
2709.05,2514,11536_NSE
2707.55,3250,11536_NSE
2707.7,1600,11536_NSE
2706.7,1496,11536_NSE
2709,2176,11536_NSE
2708.3999,1179,11536_NSE
2708.1001,1350,11536_NSE
2707.6499,1043,11536_NSE
2706.7,1911,11536_NSE
2709.05,1795,11536_NSE
2709.25,2681,11536_NSE
2709.8501,1491,11536_NSE
2709.25,974,11536_NSE
2707.3,1578,11536_NSE
2707.3501,1321,11536_NSE
2707,1211,11536_NSE
2707.8999,2985,11536_NSE
2708.75,1111,11536_NSE
2708.95,1070,11536_NSE
2708.3999,1197,11536_NSE
2710,1650,11536_NSE
2710.8,1291,11536_NSE
2708.55,1429,11536_NSE
2709,1365,11536_NSE
2707.6499,1311,11536_NSE
2709.7,2274,11536_NSE
2708.8,1149,11536_NSE
2712,8221,11536_NSE
2714.8,2606,11536_NSE
