Date,Type,open,close,low,High,Candle Mean,Moving Average Short,Moving Average Medium,Moving Average Long,EXPONENTIAL AVERAGE,RSI,Pattern
13-Aug-20,Bull,343.55,347.65,341.75,348.95,345.6,320.48999999999995,333.405,127.1275,327.2165669104652,65.29749420465835,[]
14-Aug-20,Bear,353.75,348.1,343.65,353.75,350.925,322.245,333.54400000000004,128.868,329.2054652999447,72.35884471002835,[]
17-Aug-20,Bull,350.85,357.45,346.8,358.0,354.15,324.25249999999994,333.827,130.65525,331.89542098566426,72.59191735034943,[]
18-Aug-20,Bull,356.9,357.45,354.5,359.5,357.17499999999995,326.39,334.055,132.4425,334.329190415601,77.92183586696953,['Doji']
19-Aug-20,Bear,360.0,356.65,355.5,366.2,358.325,328.62249999999995,334.25700000000006,134.22575,336.45498180459134,77.1284936813947,['ENGULFING']
20-Aug-20,Bear,354.95,353.6,347.95,357.1,354.275,330.60749999999996,334.556,135.99375,338.0878406803445,69.24659413001737,['Doji']
21-Aug-20,Bear,357.9,354.35,353.0,359.35,356.125,332.855,334.73699999999997,137.7655,339.63661775840694,76.59355335234731,[]
24-Aug-20,Bear,358.4,349.0,347.6,363.3,353.7,334.8525000000001,334.92199999999997,139.51049999999998,340.52836844808246,68.93314015521636,[]
25-Aug-20,Bear,351.9,346.1,341.0,352.0,349.0,336.2275000000001,335.02799999999996,141.24099999999999,341.05900002445554,61.32390932373039,[]
26-Aug-20,Bull,346.35,354.25,346.35,366.9,350.3,338.1825,335.287,143.01225,342.31528573641214,68.77901939439718,[]
27-Aug-20,Bear,356.0,350.55,349.55,357.45,353.275,340.08500000000004,335.422,144.765,343.09954423770625,61.197295147175815,[]
28-Aug-20,Bull,355.0,360.05,348.5,363.0,357.525,342.3275,335.645,146.56525,344.7138733579247,61.44226440782178,[]
31-Aug-20,Bear,365.0,355.75,352.0,378.35,360.375,344.5475,335.76800000000003,148.34399999999997,345.7649330381223,53.84068900692942,[]
01-Sep-20,Bear,357.0,348.8,341.4,365.35,352.9,346.24000000000007,335.631,150.08799999999997,346.0539870344916,46.305348842284445,[]
02-Sep-20,Bull,352.95,359.9,344.1,363.5,356.42499999999995,347.88,335.79200000000003,151.8875,347.3726549359686,46.44850964729952,[]
03-Sep-20,Bull,363.5,366.0,359.55,368.0,364.75,349.99,336.23199999999997,153.71749999999997,349.1466877992097,46.65633231796551,[]
04-Sep-20,Bear,363.4,353.0,351.1,363.4,358.2,351.3075,336.42799999999994,155.4825,349.51366991357065,38.944227430555564,[]
07-Sep-20,Bear,355.0,352.05,347.2,357.95,353.525,352.34499999999997,336.616,157.24274999999997,349.75522515989724,36.180078829850515,[]
08-Sep-20,Bear,352.7,345.6,343.55,355.95,349.15,352.875,336.6499999999999,158.97074999999998,349.35948943038323,36.26086077995555,[]
09-Sep-20,Bear,344.4,343.85,335.35,346.3,344.125,353.00750000000005,336.6509999999999,160.68999999999997,348.8347761512991,36.33243913549629,['Doji']
10-Sep-20,Bear,346.0,341.6,336.6,348.95,343.8,352.70500000000004,336.54699999999997,162.39799999999997,348.1457498511753,29.233735917994508,[]
11-Sep-20,Bull,341.0,342.5,333.45,343.9,341.75,352.42500000000007,336.189,164.11049999999994,347.6080593891586,36.23373983739837,['Doji']
14-Sep-20,Bull,345.0,351.65,343.45,353.6,348.325,352.13500000000005,336.033,165.86874999999998,347.99300611400065,43.33221670676371,[]
15-Sep-20,Bear,355.1,352.65,351.0,356.8,353.875,351.89500000000004,336.16700000000003,167.63199999999998,348.43652934123867,43.313802942759374,[]
16-Sep-20,Bull,352.25,353.55,348.95,356.1,352.9,351.74000000000007,336.426,169.39974999999998,348.923526546835,50.463268350602306,['Doji']
17-Sep-20,Bear,352.0,346.1,345.0,355.5,349.05,351.36500000000007,336.4849999999999,171.13025,348.6546192566602,43.278037858742124,[]
18-Sep-20,Bull,348.7,357.85,347.1,359.8,353.275,351.5400000000001,336.943,172.91949999999997,349.530369803645,50.540172122642474,[]
21-Sep-20,Bear,358.0,347.85,343.95,359.0,352.925,351.4825000000001,337.2559999999999,174.65874999999997,349.37033458425026,50.54994251294731,['ENGULFING']
22-Sep-20,Bear,347.85,332.3,327.15,348.35,340.07500000000005,350.7925,337.4939999999999,176.32025,347.7445884333693,43.47034206137254,[]
23-Sep-20,Bear,332.55,324.6,320.15,335.35,328.57500000000005,349.31000000000006,337.68299999999994,177.94324999999998,345.54034191590557,36.28783422597855,[]
24-Sep-20,Bear,321.55,313.75,312.1,322.95,317.65,347.4700000000001,337.7339999999999,179.51199999999997,342.51269030486696,36.58419858923406,[]
25-Sep-20,Bull,319.0,326.15,315.6,329.7,322.575,345.77500000000003,337.99699999999996,181.14274999999998,340.9543388472606,43.60564853556485,[]
28-Sep-20,Bull,327.8,339.55,327.8,343.2,333.675,344.96500000000003,338.4419999999999,182.8405,340.8205922903786,50.7734685114004,[]
