date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME,VALUE ,No of trades 
11-Aug-20,EQ,333.5,336.75,330.7,331.3,334.95,335,333.9,428.85,203,3504783,"1,17,02,43,377.40",48058
12-Aug-20,EQ,336,347.75,331.75,335,341.3,341.2,342.48,428.85,203,10674205,"3,65,57,43,286.35",110910
13-Aug-20,EQ,343.55,348.95,341.75,341.2,348.3,347.65,346.15,428.85,203,2707033,"93,70,31,607.40",52899
14-Aug-20,EQ,353.75,353.75,343.65,347.65,348.8,348.1,349.12,428.85,203,3377000,"1,17,89,71,733.55",43149
17-Aug-20,EQ,350.85,358,346.8,348.1,357.25,357.45,355.13,428.85,203,4508358,"1,60,10,69,314.55",62052
18-Aug-20,EQ,356.9,359.5,354.5,357.45,358.25,357.45,357.21,428.85,203,2151419,"76,85,17,064.50",26121
19-Aug-20,EQ,360,366.2,355.5,357.45,356.3,356.65,359.87,428.85,203,3269190,"1,17,64,83,812.20",47238
20-Aug-20,EQ,354.95,357.1,347.95,356.65,353.35,353.6,353.79,428.85,203,3533916,"1,25,02,66,188.30",64231
21-Aug-20,EQ,357.9,359.35,353,353.6,353.15,354.35,355.7,428.85,203,1342269,"47,74,50,265.25",24559
24-Aug-20,EQ,358.4,363.3,347.6,354.35,350.5,349,354.12,428.85,203,3489262,"1,23,56,25,992.00",42490
25-Aug-20,EQ,351.9,352,341,349,345.4,346.1,345.32,428.85,203,3532971,"1,21,99,88,776.65",45969
26-Aug-20,EQ,346.35,366.9,346.35,346.1,352.8,354.25,359.39,428.85,203,11568961,"4,15,77,15,503.95",119740
27-Aug-20,EQ,356,357.45,349.55,354.25,350.85,350.55,353.96,428.85,203,2996658,"1,06,06,91,123.15",38053
28-Aug-20,EQ,355,363,348.5,350.55,359.55,360.05,356.19,428.85,203,5406554,"1,92,57,63,371.50",61052
31-Aug-20,EQ,365,378.35,352,360.05,353.55,355.75,367.22,428.85,203,19379274,"7,11,64,80,249.40",200483
01-Sep-20,EQ,357,365.35,341.4,355.75,351,348.8,353.73,428.85,203,6726316,"2,37,93,12,308.20",65666
02-Sep-20,EQ,352.95,363.5,344.1,348.8,360.1,359.9,355.8,428.85,203,5694675,"2,02,61,52,981.05",66344
03-Sep-20,EQ,363.5,368,359.55,359.9,366.2,366,364.67,428.85,203,4286269,"1,56,30,66,415.05",56888
04-Sep-20,EQ,363.4,363.4,351.1,366,354.2,353,357.2,428.85,203,7628188,"2,72,48,16,904.65",81007
07-Sep-20,EQ,355,357.95,347.2,353,351.05,352.05,351.73,428.85,203,3344349,"1,17,63,16,330.90",43113
08-Sep-20,EQ,352.7,355.95,343.55,352.05,345.1,345.6,351.07,428.85,203,2339457,"82,13,19,190.45",39983
09-Sep-20,EQ,344.4,346.3,335.35,345.6,344.75,343.85,341.33,428.85,203,3413215,"1,16,50,21,539.65",46303
10-Sep-20,EQ,346,348.95,336.6,343.85,340.85,341.6,343.55,428.85,203,3893126,"1,33,74,75,726.05",68676
11-Sep-20,EQ,341,343.9,333.45,341.6,340.55,342.5,339.18,428.85,203,4656343,"1,57,93,41,294.25",59984
14-Sep-20,EQ,345,353.6,343.45,342.5,351.5,351.65,349.42,428.85,203,4221864,"1,47,52,12,151.85",61761
15-Sep-20,EQ,355.1,356.8,351,351.65,351.7,352.65,353.6,428.85,203,2042343,"72,21,80,645.75",34558
16-Sep-20,EQ,352.25,356.1,348.95,352.65,352.9,353.55,353.29,428.85,203,1998100,"70,59,01,722.20",33098
17-Sep-20,EQ,352,355.5,345,353.55,346.45,346.1,349.86,428.85,203,2433213,"85,12,73,266.85",42562
18-Sep-20,EQ,348.7,359.8,347.1,346.1,359.1,357.85,355.48,428.85,203,4963128,"1,76,42,94,553.15",56741
21-Sep-20,EQ,358,359,343.95,357.85,345.95,347.85,352.77,428.85,203,3086223,"1,08,87,41,509.45",40089
22-Sep-20,EQ,347.85,348.35,327.15,347.85,331.65,332.3,333.76,428.85,203,4670215,"1,55,87,23,599.85",58839
23-Sep-20,EQ,332.55,335.35,320.15,332.3,324.75,324.6,326.08,428.85,203,4281300,"1,39,60,65,561.45",46563
24-Sep-20,EQ,321.55,322.95,312.1,324.6,314,313.75,315.19,428.85,203,6857200,"2,16,12,97,598.60",46293
25-Sep-20,EQ,319,329.7,315.6,313.75,326.3,326.15,325.96,428.85,203,6282538,"2,04,78,64,903.75",60879
28-Sep-20,EQ,327.8,343.2,327.8,326.15,340.8,339.55,338.94,428.85,203,4249775,"1,44,04,06,839.50",52122
29-Sep-20,EQ,343.4,346.4,336.9,339.55,340,341,341.29,428.85,203,3490719,"1,19,13,40,153.55",36554
30-Sep-20,EQ,340.55,346.55,330,341,344.4,341.75,338.41,428.85,203,2757175,"93,30,57,298.25",34225
01-Oct-20,EQ,345.5,354.9,344.5,341.75,353.95,353.3,350.87,428.85,203,3004005,"1,05,40,28,364.10",38850
05-Oct-20,EQ,355.9,358,348.45,353.3,349.5,350.35,355.17,428.85,203,11896462,"4,22,52,10,204.70",39836
06-Oct-20,EQ,356,364.5,354.85,350.35,362.45,362.9,361.25,428.85,203,7483578,"2,70,34,70,908.40",87891
07-Oct-20,EQ,362.55,368.75,359,362.9,359.25,360.65,363.05,428.85,203,4024902,"1,46,12,53,136.35",45291
08-Oct-20,EQ,359.8,362.8,356.35,360.65,359.85,359.75,359.87,428.85,203,3036028,"1,09,25,88,468.60",30626
09-Oct-20,EQ,361,362.45,355.15,359.75,357,357.2,357.98,428.85,203,1988867,"71,19,75,014.15",29409
12-Oct-20,EQ,359.1,362.85,355.05,357.2,358.95,357.65,358.06,428.85,203,3626399,"1,29,84,51,826.80",36938
13-Oct-20,EQ,357.65,358.65,348.4,357.65,348.6,349.9,353.75,428.85,203,2413111,"85,36,35,734.40",31110
14-Oct-20,EQ,349.1,351.2,344.7,349.9,350.9,348.95,347.8,428.85,203,2363439,"82,19,98,491.00",23097
15-Oct-20,EQ,350.6,353.85,341.25,348.95,342.55,342.8,348.32,428.85,203,2855273,"99,45,35,017.75",36155
16-Oct-20,EQ,344.35,354.75,341.95,342.8,352,349.95,346.89,428.85,203,2635081,"91,40,83,561.20",32443
19-Oct-20,EQ,352.6,352.6,344.8,349.95,346.7,347.55,347.45,428.85,203,2181975,"75,81,24,831.65",29201
20-Oct-20,EQ,346.7,352.3,345.65,347.55,349,348.95,348.31,428.85,203,1999765,"69,65,44,859.20",27914
21-Oct-20,EQ,350.25,360.15,349.55,348.95,353.6,355.35,355.67,428.85,203,4398526,"1,56,44,45,041.25",63592
22-Oct-20,EQ,350.55,364.05,350.15,355.35,357.9,358.35,359.81,428.85,203,4506437,"1,62,14,79,340.65",59737
23-Oct-20,EQ,360,369,357.65,358.35,363.05,364.35,365.85,428.85,203,6357073,"2,32,57,37,834.60",65224
26-Oct-20,EQ,366,373.9,360.35,364.35,360.9,363.7,368.41,405,203,7541567,"2,77,84,03,138.05",107856
27-Oct-20,EQ,360.2,366.2,351,363.7,363.05,364.4,358.14,405,203,5869581,"2,10,21,03,879.30",60870
28-Oct-20,EQ,363,370,352,364.4,353,353.65,361.96,405,203,3863941,"1,39,85,94,524.70",47124
29-Oct-20,EQ,350.55,350.55,341.15,353.65,342.5,342.7,345.39,405,203,3346474,"1,15,58,34,353.90",41704
30-Oct-20,EQ,345.2,362.7,343.2,342.7,358,359.85,357.09,405,203,12044260,"4,30,08,58,388.20",100369
02-Nov-20,EQ,360,362.7,351.2,359.85,357.65,356.9,357.8,394.95,203,9364431,"3,35,06,02,015.35",143754
03-Nov-20,EQ,362,362.65,347.2,356.9,352.55,353.65,352.36,394.95,203,7971473,"2,80,88,12,751.65",146787
04-Nov-20,EQ,367.65,369.5,349.6,353.65,361.55,361.1,358.45,394.95,203,17940352,"6,43,06,34,499.55",135409
05-Nov-20,EQ,366.05,374.65,364.3,361.1,368.5,368.65,367.43,394.95,203,16920686,"6,21,71,99,318.30",81951
06-Nov-20,EQ,368.65,375.9,365.8,368.65,371.05,371.1,370.47,394.95,203,7290106,"2,70,07,42,550.55",56970
09-Nov-20,EQ,375,376,366,371.1,366.95,367.05,368.53,394.6,203,7038841,"2,59,40,49,961.25",49135
10-Nov-20,EQ,370.7,374.5,364.15,367.05,366.4,366.75,370.24,394.6,203,6850175,"2,53,62,28,200.25",88296
11-Nov-20,EQ,366.75,372.45,365.25,366.75,371.75,371.6,370.12,394.6,203,4370366,"1,61,75,69,582.80",56788
12-Nov-20,EQ,373,375.6,366.1,371.6,368,368.05,369.57,394.6,203,4759659,"1,75,90,46,962.30",43387
13-Nov-20,EQ,367.5,370.4,362.7,368.05,365.2,365.5,366.25,394.6,203,4156320,"1,52,22,65,382.10",47689
14-Nov-20,EQ,369,369,363,365.5,364.5,366.1,367.03,394.6,203,444529,"16,31,54,221.55",8224
17-Nov-20,EQ,368.5,386.75,366.25,366.1,378.4,379.65,376.87,394.6,203,11192618,"4,21,81,22,271.90",108529
18-Nov-20,EQ,382,395.2,382,379.65,391.9,391.1,390.19,395.2,203,15514329,"6,05,36,04,312.25",159514
19-Nov-20,EQ,390,392.7,379.6,391.1,381.4,381.9,387.28,395.2,203,6894431,"2,67,00,48,352.00",71682
20-Nov-20,EQ,381,382.65,373,381.9,375.95,375.85,377.05,395.2,203,5562369,"2,09,72,95,719.60",90980
23-Nov-20,EQ,375.85,379.35,370.3,375.85,375.4,375.15,374.66,395.2,203,4065424,"1,52,31,57,120.95",49565
24-Nov-20,EQ,378,402,376,375.15,391.9,392.25,395.17,402,203,19485370,"7,70,00,25,444.80",200786
25-Nov-20,EQ,396.3,404.7,384.4,392.25,397.9,398.95,395.9,404.7,203,18238080,"7,22,05,19,048.75",186507
26-Nov-20,EQ,400.8,413,395.65,398.95,410.45,410.15,404.31,413,203,12856261,"5,19,78,92,248.95",141046
27-Nov-20,EQ,411,416,408.2,410.15,412,411.55,411.67,416,203,10593353,"4,36,09,92,708.60",103550
01-Dec-20,EQ,415,426,412,411.55,423.9,423.8,420.33,426,203,9170159,"3,85,45,08,532.60",100625
02-Dec-20,EQ,424.9,442,420.35,423.8,437.5,438.2,433.96,442,203,13049398,"5,66,29,05,957.15",140237
03-Dec-20,EQ,442,444.5,433.05,438.2,435.85,435.8,439.93,444.5,203,10810399,"4,75,58,25,650.00",97802
04-Dec-20,EQ,439.7,458.3,439,435.8,457,453.7,446.64,458.3,203,10271034,"4,58,74,34,461.95",104783
07-Dec-20,EQ,461,474.9,459,453.7,470,471.5,469.18,474.9,203,16140936,"7,57,30,53,470.15",154105
08-Dec-20,EQ,472.7,474.7,457.55,471.5,463.5,463.35,463.51,474.9,203,9218366,"4,27,27,76,634.55",105341
09-Dec-20,EQ,467.65,469.9,458.15,463.35,465.05,463.9,464.92,474.9,203,5811412,"2,70,18,55,551.15",67073
10-Dec-20,EQ,463.9,474.1,457,463.9,471.8,471,465.89,474.9,203,4785102,"2,22,93,09,469.10",52741
11-Dec-20,EQ,471.75,475,462.7,471,465,466.3,467.96,475,203,4922448,"2,30,34,95,642.95",52997
14-Dec-20,EQ,468.6,472.45,463.1,466.3,466.9,467,467.52,475,203,5943652,"2,77,87,75,604.25",69266
15-Dec-20,EQ,469.5,479.65,461.45,467,475.3,475.75,474.34,479.65,203,10973876,"5,20,53,61,291.25",128683
16-Dec-20,EQ,480,480.45,473.15,475.75,476,475.55,476.32,480.45,203,5452263,"2,59,70,18,283.35",70859
17-Dec-20,EQ,478,478.8,465.55,475.55,468.75,467.75,470.81,480.45,203,6757703,"3,18,15,87,815.30",102164
18-Dec-20,EQ,467.75,472.95,458.5,467.75,462,463.3,464.49,480.45,203,5980780,"2,77,80,37,927.80",70891
21-Dec-20,EQ,459,467,427.2,463.3,441.4,444.25,457.25,480.45,203,8223842,"3,76,03,29,399.10",89880
22-Dec-20,EQ,444.25,470.5,435,444.25,468.9,468.65,454.42,480.45,203,9462053,"4,29,97,76,177.55",113590
23-Dec-20,EQ,467.15,476.7,462.5,468.65,470,470.75,471.51,480.45,203,7943560,"3,74,55,03,472.35",94713
24-Dec-20,EQ,474.9,482.9,466,470.75,477.45,478.55,475.4,482.9,203,7679078,"3,65,06,37,319.60",95603
28-Dec-20,EQ,480,492.95,480,478.55,484,483.55,487.06,492.95,203,8372924,"4,07,80,85,525.90",85170
29-Dec-20,EQ,485,489.85,478.2,483.55,482.25,483.4,484.5,492.95,203,5866837,"2,84,24,63,017.35",71303
30-Dec-20,EQ,484,487.6,478.15,483.4,484.75,485.4,483.05,492.95,203,3736356,"1,80,48,34,489.80",53291
31-Dec-20,EQ,485.4,490.8,480.25,485.4,480.75,483.75,486.21,492.95,203,4386328,"2,13,26,59,133.05",62456
01-Jan-21,EQ,485,508,482.55,483.75,505,503.85,495.57,508,203,7815730,"3,87,32,34,425.90",79171
04-Jan-21,EQ,507,510.9,495.2,503.85,498.1,498.9,501.35,510.9,203,9998803,"5,01,29,48,738.45",88263
05-Jan-21,EQ,498.9,504.5,492,498.9,498.75,499.45,499.14,510.9,203,5135408,"2,56,32,94,993.60",57609
06-Jan-21,EQ,501.8,504.95,489.5,499.45,495,496.8,499.09,510.9,203,5203982,"2,59,72,32,899.80",55841
07-Jan-21,EQ,500.1,520.9,499.5,496.8,513.45,513.85,512.28,520.9,203,10295126,"5,27,39,86,854.40",116095
08-Jan-21,EQ,520,527.35,514.5,513.85,516.25,517,521.14,527.35,203,7272250,"3,78,98,49,024.45",105599
11-Jan-21,EQ,520.45,522.5,504,517,506.95,508.35,509.17,527.35,203,7156036,"3,64,36,21,094.35",112381
12-Jan-21,EQ,507,520.65,502.55,508.35,510.7,511.25,514.38,527.35,203,6751375,"3,47,27,75,544.95",94103
13-Jan-21,EQ,515.9,540,514.6,511.25,533.9,536.65,527.18,540,203,11045555,"5,82,29,48,497.45",118708
14-Jan-21,EQ,537.95,542.45,530.1,536.65,534.55,536.95,536.54,542.45,203,6066782,"3,25,50,66,784.05",73956
15-Jan-21,EQ,536.8,541,524,536.95,528,527.95,531.23,542.45,203,5427713,"2,88,33,38,254.60",72798
18-Jan-21,EQ,531,532.3,503.8,527.95,511.1,515.5,517.81,542.45,203,6258367,"3,24,06,68,909.45",83239
19-Jan-21,EQ,516,535,516,515.5,533,532.8,527.84,542.45,203,6694907,"3,53,38,60,465.95",82187
20-Jan-21,EQ,529,562.5,529,532.8,556.25,558.6,550.15,562.5,203,14440729,"7,94,45,85,144.15",159124
21-Jan-21,EQ,561.85,561.85,542.65,558.6,549.75,547.65,551.88,562.5,203,8870257,"4,89,53,06,507.45",117414
22-Jan-21,EQ,549.5,557.5,531.7,547.65,535,535.8,545.45,562.5,203,6843849,"3,73,30,08,812.95",86849
25-Jan-21,EQ,543,547.45,522,535.8,523.4,523.65,532.01,562.5,203,5816153,"3,09,42,42,490.10",75883
27-Jan-21,EQ,528.25,536,512.5,523.65,516.65,518.85,523.59,562.5,203,8920054,"4,67,04,11,926.70",105470
28-Jan-21,EQ,515.7,527.95,507.05,518.85,520.3,519.1,519.12,562.5,203,5707393,"2,96,28,07,750.10",72088
29-Jan-21,EQ,527.55,533.1,507.1,519.1,510,509.7,520.22,562.5,203,6781488,"3,52,78,76,648.40",81398
01-Feb-21,EQ,514.3,545.45,500.1,509.7,543.8,542.75,521.81,562.5,203,10259084,"5,35,32,54,917.15",144291
02-Feb-21,EQ,548.7,554.85,540,542.75,553.3,550.8,547.68,562.5,203,7160471,"3,92,16,59,690.50",72629
03-Feb-21,EQ,549.55,562.3,542,550.8,560,560.1,555.66,562.5,203,7462289,"4,14,65,13,325.30",73872
04-Feb-21,EQ,557.9,573.4,554.05,560.1,568.7,568.4,565.59,573.4,203,6850462,"3,87,45,50,036.00",76877
05-Feb-21,EQ,571,573.95,561.65,568.4,567.6,566.95,568.7,573.95,203,5586868,"3,17,72,37,232.50",65457
08-Feb-21,EQ,572.15,594,571.1,566.95,583.3,582.05,583.52,594,203,8887710,"5,18,61,33,387.80",118318
09-Feb-21,EQ,589.65,589.8,573.2,582.05,582.2,581.95,581.89,594,203,10917915,"6,35,30,78,363.25",110355
10-Feb-21,EQ,584.75,587,550.5,581.95,578.4,576.85,567.22,594,203,19987392,"11,33,72,93,385.70",202060
11-Feb-21,EQ,576.85,593.7,576.3,576.85,590.25,591.85,585.92,594,203,10595917,"6,20,83,10,908.15",98093
12-Feb-21,EQ,592.3,621.65,586.1,591.85,611.75,616.6,606.51,621.65,203,24953701,"15,13,46,77,388.95",253089
15-Feb-21,EQ,617.95,639.9,610.8,616.6,625.8,627.75,627.65,639.9,203,15146033,"9,50,64,62,378.65",184606
16-Feb-21,EQ,629.8,643.5,628.05,627.75,637.4,636.55,637.44,643.5,203,15120148,"9,63,81,25,111.15",241095
17-Feb-21,EQ,658,670,646.9,636.55,654,655.75,658.2,670,203,34868085,"22,95,01,89,490.75",469652
18-Feb-21,EQ,660.8,670,649.05,655.75,664.2,664.05,659.78,670,203,13189027,"8,70,18,91,515.10",161477
19-Feb-21,EQ,664.95,676.65,628.65,664.05,655,653.5,658.84,676.65,203,17553743,"11,56,50,22,396.50",219949
22-Feb-21,EQ,658.8,678.5,649,653.5,672,673.8,665.66,678.5,203,16739107,"11,14,24,95,641.05",200480
23-Feb-21,EQ,680,682.7,659.25,673.8,662,662,668.7,682.7,203,11247164,"7,52,09,40,821.50",160718
24-Feb-21,EQ,666.7,671,653.4,662,666.4,665.2,665.04,682.7,203,3919187,"2,60,63,99,185.80",57372
25-Feb-21,EQ,669.4,711.35,667.15,665.2,705,704.3,695.14,711.35,203,18596690,"12,92,72,21,549.30",226639
26-Feb-21,EQ,697.1,703.45,668,704.3,668.25,675.9,686.34,711.35,203,19909990,"13,66,51,13,847.35",220978
01-Mar-21,EQ,684.6,704.65,673.3,675.9,697.6,692.9,688.54,711.35,203,11600468,"7,98,74,21,582.95",179958
02-Mar-21,EQ,697.6,724.7,696,692.9,721.25,720.5,708.76,724.7,203,11486477,"8,14,11,58,368.05",170602
03-Mar-21,EQ,732,754.95,723.4,720.5,733.25,729.85,739.56,754.95,203,19961472,"14,76,26,53,883.70",285506
